,DOTUSDT,ETCUSDT,spread,Zscore
188,5.334,17.863,0.15373000000000037,1.3448887728935934
189,5.3,17.745,0.15395000000000003,1.242926191506238
190,5.274,17.606,0.16826000000000008,1.342017648174814
191,5.245,17.745,0.09895000000000032,0.10440435378125112
192,5.285,17.815,0.1186499999999997,0.3805869272064953
193,5.285,17.765,0.13315000000000055,0.586755696579314
194,5.27,17.856,0.09175999999999984,-0.4578605936974704
195,5.333,17.97,0.12170000000000059,0.19489337590407427
196,5.33,17.913,0.13522999999999996,0.5363213334651714
197,5.321,17.89,0.13290000000000024,0.3830934634026902
198,5.255,17.81,0.09010000000000051,-1.1751254503422799
199,5.242,17.75,0.09450000000000003,-1.0424860235646547
